Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
57365;KIRSCHNAUMEN;49.4036194349,6.43416231385;57480;57;LORRAINE
59274;LA GROISE;50.0763719216,3.6815589114;59360;59;NORD-PAS-DE-CALAIS
30024;AULAS;43.9989798888,3.58716072515;30120;30;LANGUEDOC-ROUSSILLON
73067;LA CHAMBRE;45.3669668762,6.29360957589;73130;73;RHONE-ALPES
79135;GOURGE;46.7252168311,-0.184292127866;79200;79;POITOU-CHARENTES
34299;SERIGNAN;43.2733185307,3.29725083254;34410;34;LANGUEDOC-ROUSSILLON
63082;CHAMPS;46.0616676024,3.09345321573;63440;63;AUVERGNE
51109;CHALONS-SUR-VESLE;49.2853621034,3.91987643283;51140;51;CHAMPAGNE-ARDENNE
80225;CREUSE;49.8354296126,2.15949387069;80480;80;PICARDIE
8261;LOUVERGNY;49.5481522675,4.7408902375;8390;8;CHAMPAGNE-ARDENNE
14583;SAINT-GERMAIN-DE-MONTGOMMERY;48.9408459215,0.166212211625;14140;14;BASSE-NORMANDIE
50028;LA BALEINE;48.9240616553,-1.30193952808;50450;50;BASSE-NORMANDIE
50324;LE MESNIL-VENERON;49.2259215456,-1.16299457412;50620;50;BASSE-NORMANDIE
57298;HARREBERG;48.6629610218,7.17414816773;57870;57;LORRAINE
23128;MAZEIRAT;46.1381078382,1.98735515173;23150;23;LIMOUSIN
76153;CALLEVILLE-LES-DEUX-EGLISES;49.7036168494,1.02150696093;76890;76;HAUTE-NORMANDIE
53035;BOUCHAMPS-LES-CRAON;47.8063086126,-0.984995031745;53800;53;PAYS DE LA LOIRE
3240;SAINT-LEON;46.410638894,3.68775721106;3220;3;AUVERGNE
76587;SAINTE-HELENE-BONDEVILLE;49.7715222464,0.460707972342;76400;76;HAUTE-NORMANDIE
69225;SAINT-MARCEL-L'ECLAIRE;45.8745331983,4.42248122756;69170;69;RHONE-ALPES
52079;BROUSSEVAL;48.4911221703,4.97724506546;52130;52;CHAMPAGNE-ARDENNE
92036;GENNEVILLIERS;48.9345190548,2.29384987973;92230;92;ILE-DE-FRANCE
34262;SAINT-GUIRAUD;43.6784032786,3.45134218605;34725;34;LANGUEDOC-ROUSSILLON
97205;CASE-PILOTE;14.6586961722,-61.1253927105;97222;97;MARTINIQUE
9331;LE VERNET;43.1871732316,1.60423543704;9700;9;MIDI-PYRENEES
81101;LE GARRIC;44.0037171687,2.17389452679;81450;81;MIDI-PYRENEES
28135;DROUE-SUR-DROUETTE;48.6019197892,1.70074924736;28230;28;CENTRE
78209;EMANCE;48.5912443616,1.73390174623;78125;78;ILE-DE-FRANCE
34309;TEYRAN;43.6849602174,3.92844546049;34820;34;LANGUEDOC-ROUSSILLON
74208;PASSY;45.9545838758,6.74056895873;74190;74;RHONE-ALPES
71209;FRONTENAUD;46.5482784948,5.29083572414;71580;71;BOURGOGNE
46133;ISSEPTS;44.6769137032,1.91696387098;46320;46;MIDI-PYRENEES
34137;LIAUSSON;43.6402749752,3.36044063892;34800;34;LANGUEDOC-ROUSSILLON
8419;SIGNY-L'ABBAYE;49.7029435011,4.40415204398;8460;8;CHAMPAGNE-ARDENNE
89246;MASSANGIS;47.6250901149,3.98513574014;89440;89;BOURGOGNE
